movieId,title,imdb_url,adult,overview,runtime,status,tagline,facebook,instagram,twitter,tmdb_id
33213,SHADOW FORCE,https://www.imdb.com/title/tt11092020,False,,103,Post Production,Family over everything.,,,,757725
28707,HIT (THE THIRD CASE) (TELUGU) (A),,False,,,In Production,,,,,1060046
28532,THUNDERBOLTS (ENGLISH) (UA 13+),https://www.imdb.com/title/tt20969586,False,Depressed assassin Yelena Belova teams up alongside the MCU's least anticipated band of misfits.,,Post Production,Careful who you assemble.,,,,986056
31844,THUDARUM,https://www.imdb.com/title/tt31969600,False,,,Post Production,,,,,1261125
33772,SINGLE (TELUGU) (T.B.A),https://www.imdb.com/title/tt35694565,False,,,Released,,,,,1428301
32536,RETRO (TAMIL) (UA 16+),https://www.imdb.com/title/tt31945132,False,"In the 1990s, the son of a dreaded gangster attempts to leave his violent life for his true love.",,Post Production,Love. Laughter. War.,,,,1265827
31367,SINNERS,https://www.imdb.com/title/tt31193180,False,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",,Post Production,Dance with the devil.,,,,1233413
31773,KESARI CHAPTER 2,https://www.imdb.com/title/tt3562110,False,Sir Chettur Sankaran Nair was known for being a passionate advocate for social reforms and a firm believer in the self-determination of India.,,In Production,,,,,1137339
31842,PRINCE AND FAMILY (MALAYALAM) (U),,False,,,Post Production,,,,,1268170
33752,PADAKKALAM,https://www.imdb.com/title/tt32919734,False,,,Released,,,,,1251970
33748,SARKEET,https://www.imdb.com/title/tt34757142,False,,118,Released,,,,,1392483
33275,SHIN CHAN OUR DINOSAUR DIARY (TAMIL) (U),https://www.imdb.com/title/tt30400536,False,,106,Released,When a brief encounter sparks a heartfelt bond.,,https://www.facebook.com/shinchan_movie,https://www.twitter.com/crayon_official,1221404
32588,UNTIL DAWN,https://www.imdb.com/title/tt30955489,False,"One year after her sister Melanie mysteriously disappeared, Clover and her friends head into the remote valley where she vanished in search of answers. Exploring an abandoned visitor center, they find themselves stalked by a masked killer and horrifically murdered one by one…only to wake up and find themselves back at the beginning of the same evening.",103,Released,Every night a different nightmare.,https://www.facebook.com/UntilDawnMovie,https://www.facebook.com/untildawnmovie,https://www.twitter.com/UntilDawn_Movie,1232546
28630,A MINECRAFT MOVIE,https://www.imdb.com/title/tt3566834,False,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",101,Released,Be there and be square.,https://www.facebook.com/AMinecraftMovie,https://www.facebook.com/aminecraftmovie,https://www.twitter.com/AMinecraftMovie,950387
33743,PIKU MOTION SE HI EMOTION (RE RELEASE),https://www.imdb.com/title/tt3767372,False,,123,Released,Motion Se Hi Emotion.,https://www.facebook.com/PikuTheFilm,https://www.facebook.com/pikuthefilm,,332835
33290,THE BHOOTNII (HINDI) (T.B.A),,False,,,In Production,,,,,1054626
33742,THERE WILL BE BLOOD (RE RELEASE),https://www.imdb.com/title/tt0469494,False,,158,Released,There will be greed. There will be vengeance.,,,,7345
33734,AAMAR BOSS (BENGALI) (U),https://www.imdb.com/title/tt30318492,False,,139,Released,,,,,1212074
30035,PADDINGTON IN PERU,https://www.imdb.com/title/tt5822536,False,"Paddington travels to Peru to visit his beloved Aunt Lucy, who now resides at the Home for Retired Bears. With the Brown Family in tow, a thrilling adventure ensues when a mystery plunges them into an unexpected journey through the Amazon rainforest and up to the mountain peaks of Peru.",106,Released,A little bear goes a long way.,,,,516729
33776,NAALE RAJAA KOLI MAJAA (KANNADA) (U),https://www.imdb.com/title/tt32525026,False,,91,Released,,,,,1292701
29979,THE AMATEUR,https://www.imdb.com/title/tt0899043,False,"After his wife is tragically killed in a London terrorist attack, a CIA cryptographer demands his bosses go after the killers. When it becomes clear they won’t act due to conflicting internal priorities, he blackmails the agency into training him and letting him go after them himself.",,In Production,,,,,1087891
31597,BAAZ,https://www.imdb.com/title/tt0045529,False,,141,Released,,,,,185555
27614,SALAAR (PART 1-CEASEFIRE) (TELUGU) (A),https://www.imdb.com/title/tt13927994,False,"In the city of Khansaar, Raja Mannar plans to make his son, Vardharaja Mannar his successor, but Raja Mannar's ministers and advisors plan a coup d'état by hiring armies from Russia and Serbia to attack and kill Vardha and Raja. Vardha, along with his brother and a few trusted men, manage to escape from Khansaar. Vardha goes to his childhood best friend, Deva, who learns about his predicament and sets out to make him the undisputed successor of Khansaar.",174,Released,The most violent men called one man the most violent,,,,770906
