movieId,theatreId,totalSeats,availableSeats,screenName,language,startTime,endTime,format,availability
172677,128,288,129,AUDI 1,,2025-08-15T15:35:00,2025-08-15T15:35:00,2D,129
172677,128,162,98,AUDI 2,,2025-08-15T16:40:00,2025-08-15T16:40:00,2D,98
172677,128,136,69,AUDI 7,,2025-08-15T16:20:00,2025-08-15T16:20:00,2D,69
172677,1042222,524,120,Manasa,,2025-08-15T16:50:00,2025-08-15T16:35:00,2D,120
172677,56450,343,45,SCREEN 05,,2025-08-15T15:20:00,2025-08-15T15:20:00,2D,45
172677,56450,186,60,SCREEN 04,,2025-08-15T16:20:00,2025-08-15T16:20:00,2D,60
172677,56450,235,73,SCREEN 06,,2025-08-15T16:50:00,2025-08-15T16:50:00,2D,73
172677,56451,94,34,SCREEN 02,,2025-08-15T17:00:00,2025-08-15T17:00:00,2D,34
172677,1052276,707,73,Veerabhadreshwara  Theatre,,2025-08-15T16:30:00,2025-08-15T15:20:00,2D,73
172677,4196,577,65,Vinayaka,,2025-08-15T16:15:00,2025-08-15T15:45:00,2D,65
172677,9637,150,30,AUDI 1,,2025-08-15T16:35:00,2025-08-15T16:35:00,2D,30
172677,9637,203,48,AUDI 4,,2025-08-15T16:50:00,2025-08-15T16:50:00,2D,48
172677,9637,236,42,AUDI 5,,2025-08-15T15:20:00,2025-08-15T15:20:00,2D,42
172677,1039754,321,143,AUDI 3,,2025-08-15T17:00:00,2025-08-15T17:25:00,2D,143
172677,1026890,596,73,Murali Cinemas,,2025-08-15T17:00:00,2025-08-15T16:00:00,2D,73
172677,1039879,635,65,Kamkaya,,2025-08-15T16:45:00,2025-08-15T17:30:00,2D,65
172677,54957,544,51,Vinayaka cinemas,,2025-08-15T17:00:00,2025-08-15T16:00:00,2D,51
172677,9487,329,96,Screen 1,,2025-08-15T17:00:00,2025-08-15T17:00:00,2D,96
172677,52080,227,32,SCREEN 4,,2025-08-15T13:40:00,2025-08-15T14:25:00,2D,32
172677,52080,227,157,SCREEN 4,,2025-08-15T17:00:00,2025-08-15T17:45:00,2D,157
172677,52080,227,98,SCREEN 6,,2025-08-15T16:00:00,2025-08-15T16:45:00,2D,98
172677,1039871,581,45,Sri Vajreshwari,,2025-08-15T16:30:00,2025-08-15T17:15:00,2D,45
172677,115,158,46,AUDI 07,,2025-08-15T17:00:00,2025-08-15T17:00:00,2D,46
172677,115,244,34,AUDI 01,,2025-08-15T15:50:00,2025-08-15T15:50:00,2D,34
172677,7508,163,51,AUDI08,,2025-08-15T17:00:00,2025-08-15T17:00:00,2D,51
172677,7508,134,37,AUDI09,,2025-08-15T16:45:00,2025-08-15T16:45:00,2D,37
172677,7508,138,43,AUDI10,,2025-08-15T16:50:00,2025-08-15T16:50:00,2D,43
172677,7508,302,46,AUDI02,,2025-08-15T15:20:00,2025-08-15T15:20:00,2D,46
172677,7508,143,30,AUDI05,,2025-08-15T15:50:00,2025-08-15T15:50:00,2D,30
